idContencioso	idAireclaim	submetedor	tipoContenciosoPedido	dataEntrada	estado	urgencia	eventos
ID	ID Aireclaim	Adicionado por:	Tipo Pretendido	Data de Entrada	Estado	Urgência	Eventos ou Comentários relevantes no process
	5390		 ODR italia	20/09/2016			Alitalia não suporta ADRs - Dizem no site que não. Só NEB ou SC.
	4996		 NEB ou ODR grecia	20/09/2016	Fechado		Ventos cruzados
	4991		NEB finlandia	20/09/2016	Fechado		Excesso de vento na descolagem. Desculpa válida. Já tinhamos informado o passageiro
	4935		so pode ser SC italia - nao tem ADR, e NEB é italia	20/09/2016	Em Curso		ADR enviado, mas sem novidades, Novo em draft. Pedido de informação mandado às fongas Novo ADR enviado ao Retail Ombusdman
	4870		Emendado para basta NEB	20/09/2016	Em Curso		
	4720		NEB suissa	20/09/2016			
	4434		 NEB ou ADR suisso	20/09/2016			
	4202		NEB ADR não dá - TEM QUE IR PARA SMALL CLAIMS	20/09/2016			
	4038		 ODR (ou NEB ou SC)	20/09/2016			
	3966		 NEB	20/09/2016			
	3922		 NEB espanha	20/09/2016			
	3899		NEB espanha	20/09/2016			
	3979		SC Ryanair	20/09/2016	A ser tratado por AS		
	3123		Melhor solução	21/09/2016			
	3185		Thomson - ADR CERC	26/09/2016		Urgente	
	3737		NA	26/09/2016			
	5185		NEB Português ou SC Espanha	27/09/2016			
	3788		SC Irlanda ( RyanAir)	27/09/2016	Derrotado à partida	Urgente	
	5411		SC Irlanda ( easyJet)	27/09/2016			
	5363		SC Irlanda ( easyJet)	27/09/2016			
	5173		à descrição	29/09/2016			